0,Shawn Wilson,50,5,881250949
0,Shawn Wilson,172,5,881250949
0,Shawn Wilson,133,1,881250949
196,Bessie White,242,3,881250949
196,Bessie White,393,4,881251863
196,Bessie White,381,4,881251728
196,Bessie White,251,3,881251274
196,Bessie White,655,5,881251793
196,Bessie White,67,5,881252017
196,Bessie White,306,4,881251021
196,Bessie White,238,4,881251820
196,Bessie White,663,5,881251911
196,Bessie White,111,4,881251793
196,Bessie White,580,2,881252056
196,Bessie White,25,4,881251955
196,Bessie White,286,5,881250949
196,Bessie White,94,3,881252172
196,Bessie White,692,5,881252017
196,Bessie White,8,5,881251753
196,Bessie White,428,4,881251702
196,Bessie White,1118,4,881252128
196,Bessie White,70,3,881251842
196,Bessie White,66,3,881251911
196,Bessie White,257,2,881251577
196,Bessie White,108,4,881252110
196,Bessie White,202,3,881251728
196,Bessie White,340,3,881251045
196,Bessie White,287,3,881251884
196,Bessie White,116,3,881251753
196,Bessie White,382,4,881251843
196,Bessie White,285,5,881251753
196,Bessie White,1241,3,881251642
196,Bessie White,1007,4,881251601
196,Bessie White,411,4,881252090
196,Bessie White,153,5,881251820
196,Bessie White,13,2,881251955
196,Bessie White,762,3,881251955
196,Bessie White,173,2,881251820
196,Bessie White,1022,4,881251143
196,Bessie White,845,4,881251954
196,Bessie White,269,3,881250949
196,Bessie White,110,1,881252305
186,Marcus Harris,302,3,891717742
186,Marcus Harris,566,5,879023663
186,Marcus Harris,250,1,879023607
186,Marcus Harris,148,4,891719774
186,Marcus Harris,263,3,879023571
186,Marcus Harris,470,5,879023693
186,Marcus Harris,983,3,879023152
186,Marcus Harris,281,4,879023390
186,Marcus Harris,385,4,879023894
186,Marcus Harris,588,4,879024535
186,Marcus Harris,406,1,879023272
186,Marcus Harris,925,5,879023152
186,Marcus Harris,977,3,879023273
186,Marcus Harris,322,5,879022927
186,Marcus Harris,53,1,879023882
186,Marcus Harris,333,3,891718820
186,Marcus Harris,591,4,879023073
186,Marcus Harris,742,3,879023073
186,Marcus Harris,770,2,879023819
186,Marcus Harris,550,4,879023985
186,Marcus Harris,237,2,879023934
186,Marcus Harris,1277,4,879023677
186,Marcus Harris,1253,4,891719774
186,Marcus Harris,71,5,879024535
186,Marcus Harris,554,1,879023751
186,Marcus Harris,257,4,891719774
186,Marcus Harris,44,5,879023529
186,Marcus Harris,117,5,879023607
186,Marcus Harris,327,3,891717806
186,Marcus Harris,288,1,879022858
186,Marcus Harris,225,4,879024148
186,Marcus Harris,988,4,891719775
186,Marcus Harris,31,4,879023529
186,Marcus Harris,939,5,879023529
186,Marcus Harris,546,4,891719775
186,Marcus Harris,100,4,879023115
186,Marcus Harris,338,3,889818331
186,Marcus Harris,717,3,879023242
186,Marcus Harris,118,2,879023242
186,Marcus Harris,226,5,879023664
186,Marcus Harris,300,5,879022858
